Ticker,Weight,Model
PETR3.SA,0.003227340666116414,Markowitz + Linear Regression
WEGE3.SA,0.0,Markowitz + Linear Regression
TOTS3.SA,0.004954755676623605,Markowitz + Linear Regression
VALE3.SA,0.0,Markowitz + Linear Regression
EMBR3.SA,6.602791230436722e-17,Markowitz + Linear Regression
VIVT3.SA,0.19357929896733383,Markowitz + Linear Regression
CSNA3.SA,1.8388068845354155e-16,Markowitz + Linear Regression
RADL3.SA,0.06409645356949524,Markowitz + Linear Regression
PCAR3.SA,0.0,Markowitz + Linear Regression
PINE4.SA,0.734142151120431,Markowitz + Linear Regression
